claim_id,section,claim,source_ids,evidence_location,status,notes
RW11,evaluation context,Layerwise reduction schedule is a separate control from routing support; final token count alone does not equalize computation.,PA-diffrate2023;PA-tome2023;PA-dtem2024,DiffRate method and Sec.6.1; ToMe/DTEM reduction placement,inferred,
RW12,evaluation context,DSM reports locality-related data-movement overhead can limit observed throughput gains.,PA-dsm2024,Sec.3; PDF p.4,reported,
RW13,scope,"Locality, hard spatial support, learned soft merging, and compressed/dense cross-attention are established; this work should be framed as a bounded mechanism and execution study.",PA-dtem2024;PA-algm2024;PA-cubistmerge2026;PA-lookupvit2024,Cited method sections,inferred,The current campaign determines its own empirical conclusions; no universal verdict on learned routing.
EXP01,setup,All 2419 summary epochs match EMA log lines; 16 of 18 launched runs are complete.,EX-IN1K,results.csv and source log audit,derived,No weights were independently loaded.
EXP02,setup,"Fine-tuning uses effective batch 1024 through four-step accumulation, with 1251 optimizer updates per epoch.",EX-IN1K,launch_protocol.json,derived,"5004 denotes microsteps, not optimizer steps."
EXP03,results,"At 150 epochs, R3 improves best top-1 over global by 1.670 pp and flat by 0.598 pp.",EX-IN1K,Stage 2 controls at the same learning rate,derived,Single seed; geometry and candidate count remain coupled.
EXP04,results,Main best EMA accuracy is 81.368 versus 82.246 at 224 px and R3 82.582 versus 82.976 after 384 px fine-tuning.,EX-IN1K,Six identified runs in the main result table,derived,Best/final separate; selected scratch LR differs; fine-tuning recipe shared.
EXP05,results,ToMe has higher recorded accuracy at all 20 matched final-patch operating points.,EX-SWEEP,Latest successful full-validation compression records,derived,Correlated checkpoints; neither matched MACs nor matched latency.
EXP06,systems,MN uses 7.1% more inference time at 224/b64 and 20.0% less at 384/b64/R3.,EX-EFF,Source dates and batch-specific rows,derived,Synthetic random weights; not complete training time.
EXP07,systems,Supplied ToMe accuracy and latency cannot be joined into a verified frontier.,EX-SWEEP;EX-LAT,"prop_attn true versus false, plus token and hook differences",conflicting,Explicit inference-policy mismatch.
EXP08,systems,A 36.9% reduction in estimated MACs does not establish a GPU bandwidth bottleneck.,EX-COST;EX-EFF,Analytic cost values and guarded timing,derived,CPU and analytic proxies are not GPU counters.
EXP09,method,Six local blocks precede six soft steps; the gather is the first physical sequence reduction.,EX-CODE,model.py 517-574 and 1140-1178,reported,Fixed slots before the gather; global recovery; latent mass attention.
EXP10,systems,Released ThreTopK has cross-sample dependence and nonfinite constant-batch cases.,EX-TOPK;EX-CODE,thetopk.py 12-13 and controlled CPU probe,derived,Checkpoint accuracy impact is unmeasured.
EXP11,appendix,The bisection reference passes 120 bounded tensor cases and three gradient checks.,EX-REF,summary in validation JSON,derived,"Slow, untrained reference; near-constant inputs can have large gradients."
EXP12,appendix,The BNHD variant improves measured single-module runtime with numerical parity in the tested cases.,EX-LAYOUT,"Raw timing samples, three-round variation and four parity cases",derived,"Selected shapes, zero dropout, A100 only, no optimizer."
EXP13,appendix,Historical CIFAR R3 exceeds Global in 10/10 pairs with a mean gain of 1.835 pp.,EX-CIFAR,R3 paired table and audit of 70 raw runs,derived,"200 epochs, one seed, resized CIFAR; historical Flat uses different code."
EXP14,limitations,"Independent ImageNet checkpoint re-evaluation and ImageNet multi-seed uncertainty remain unavailable; MN512 is complete.",EX-IN1K;EX-IN1K-19,"Manifest, run inventory and missing weights",not-disclosed,Company weights still absent; 512-pixel MN endpoint is now recorded.
EXP15,follow-up,"At exact half-patch budgets on the local A100 stack, original MergeNet is slower than dense at224 and384.",EX-A100-FULL,whole_model_summary.csv;36 cells,derived,Random weights;hardware and software both differ from H20.
EXP16,follow-up,R3 BNHD whole-model inference improves about5% at224 and384.,EX-A100-FULL,whole_model_summary.csv,derived,Three rounds;not trained-checkpoint accuracy or training throughput.
EXP17,follow-up,Local CIFAR R3-global gaps remain1.04--1.14pp across three rebatching protocols.,EX-CIFAR-REPLAY,cifar_batch.json and per-image predictions,derived,Two seed42 EMA checkpoints;not ImageNet or across-seed uncertainty.
EXP18,follow-up,Fixed-first16 companion changes produce max logit deltas0.335938 global and0.048828 R3;rowwise reference gives0.,EX-CIFAR-REPLAY,cifar_batch.json:fixed_first16_companion_probe,derived,No first16 class flips in the small probe;full-test changes separate.
EXP19,follow-up,Direct rowwise-selector intervention changes global top1 by-0.32pp and R3 by+0.02pp.,EX-CIFAR-REPLAY,cifar_reference.json,derived,Weights unchanged;no new training or universal accuracy-preserving fix.
EXP20,follow-up,Dense full-model layout parity is bitwise;loss-scaled sparse parity passes stated tolerances.,EX-FULL-PARITY,dense_parity.json;sparse_scaled_parity.json;whole_model.json,derived,Unscaled sparse tests and self-repeat failures retained;bounded settings only.
EXP21,results,512-pixel MN best EMA is 82.618 versus dense 83.068; the gap is -0.450 pp.,EX-IN1K-19,s4_mn_ft512_15e and s4_deit_ft512_15e summaries,derived,MN seeded from R5.143 384 EMA with R=6.857; not a radius-3 continuation.
EXP22,results,Four completed 150-epoch probes do not exceed the campaign-defined +0.40 pp promotion threshold over79.316.,EX-IN1K-19,warmup; curriculum; lr 1e-3; drop-path 0.07 summaries,derived,Decision rule is not a noise estimate or equivalence test;weight-decay at140/150 is partial.
EXP23,results,CIFAR three-seed historical R3-global mean is +2.11 pp; R3-degree mean is +1.42 pp; all 18 same-seed R3-control differences are positive.,EX-CIFAR-SEEDS,cifar_seeds/contrasts.csv recomputed from epoch-199,derived,Resized32px CIFAR;n=3 sample std;degree control is a receiver permutation of R3.
EXP24,results,Test-time method=none on the 300-epoch MN checkpoint is 81.354 versus native 81.360 at 392 achieved tokens.,EX-SWEEP,TESTTIME_SWEEP non-gate 224 px rows,derived,method=none still achieves 392 tokens; not a 784-token dense readout.
EXP25,setup,The September19 packet contains3365 contiguous finite summary rows;3264 match supplied EMA logs and101 remain summary-only.,EX-PACKET-LOG,log-audit.json totals and per-run row checks,derived,"Missing logs: curriculum epochs64--149 and MN512 epochs0--14;not checkpoint replay."
M01,method,The threshold-adjusted smooth top-k relaxation is used as an adopted differentiable routing surrogate; MergeNet's contribution is coupling it to a hard exact-budget gather.,PA-sujianlin2024topk;EX-CODE,Su blog threshold/smooth top-k sections; model selection and gather implementation,reported,"The paper does not claim the smooth top-k operator itself as novel."
M02,method,Per-key mass bias is rank one and exactly realized by query/key dimension augmentation with the original softmax scale.,PA-flashattn2022;EX-CODE,FlashAttention provenance; bias_local_attn.py dimension augmentation and explicit softmax_scale,derived,"Parity is tested for the released operator; canonical ImageNet checkpoints use fused SDPA."
M03,method,The released augmented attention path pads to an alignment width and uses cached inference workspaces, while training allocates fresh buffers for autograd safety.,EX-CODE,bias_local_attn.py padded and cached paths,reported,"No zero-copy or measured peak-memory improvement is claimed."
